Latitude;Longitude;datetime
-54,7980389;-22,2455059;2014-04-15 00:19:05
-60,4394855;-26,7814421;2014-04-15 00:19:06
-49,3456773;-25,4626782;2014-04-15 00:19:07
-75,17830828;39,80622226;2014-04-15 00:19:07
-93,6936622;41,614876;2014-04-15 00:19:08
-70,34088;18,27816;2014-04-15 00:19:11
-64,3397956;-33,1124831;2014-04-15 00:19:12
-73,97062038;40,60714224;2014-04-15 00:19:13
-61,0374855;-35,0044691;2014-04-15 00:19:14
-58,47811961;-34,5810813;2014-04-15 00:19:15
-86,77946091;21,06041275;2014-04-15 00:19:17
-73,95660432;5,16468729;2014-04-15 00:19:17
-89,22554212;37,71025375;2014-04-15 00:19:17
-118,3748861;34,16341661;2014-04-15 00:19:17
-73,83797901;7,07058067;2014-04-15 00:19:18
-49,3403254;-25,22045;2014-04-15 00:19:18
-125,0129835;49,66999085;2014-04-15 00:19:19
-90,60965327;41,52486815;2014-04-15 00:19:19
-111,9374834;40,74164551;2014-04-15 00:19:19
-74,8314259;10,9896488;2014-04-15 00:19:19
-97,31120288;20,43999803;2014-04-15 00:19:19
-69,9383318;-4,2335456;2014-04-15 00:19:20
-66,6117247;17,9928153;2014-04-15 00:19:20
-49,09659023;-28,6380328;2014-04-15 00:19:21
-43,2905279;-22,683937;2014-04-15 00:19:22
-79,8958229;-2,1239731;2014-04-15 00:19:22
-76,9859965;39,0003985;2014-04-15 00:19:24
-76,9919307;-12,0759036;2014-04-15 00:19:25
-110,9765775;29,1176485;2014-04-15 00:19:25
-38,49887177;-12,92898174;2014-04-15 00:19:26
-82,62592555;27,87371483;2014-04-15 00:19:27
-74,1066924;4,7109017;2014-04-15 00:19:28
-97,2962492;32,9508707;2014-04-15 00:19:28
-117,2423763;32,74642303;2014-04-15 00:19:29
-91,86731946;35,29496831;2014-04-15 00:19:30
-117,9616178;33,8094965;2014-04-15 00:19:31
-94,16740772;30,1617238;2014-04-15 00:19:31
-92,40062258;38,92522473;2014-04-15 00:19:31
-45,9563847;-22,2402637;2014-04-15 00:19:33
-72,79123873;42,13192165;2014-04-15 00:19:33
-102,5719275;22,76971417;2014-04-15 00:19:34
-50,7850949;-29,6544308;2014-04-15 00:19:34
-46,6654862;-23,6828474;2014-04-15 00:19:34
-99,38197943;40,43735814;2014-04-15 00:19:35
-56,17176821;-34,91049735;2014-04-15 00:19:36
-74,0847875;4,7197201;2014-04-15 00:19:36
-99,53039733;19,95387255;2014-04-15 00:19:36
-71,4250989;-30,1977409;2014-04-15 00:19:36
-74,7916464;10,9664331;2014-04-15 00:19:36
-99,2112697;18,8880849;2014-04-15 00:19:37
-70,70663988;19,45919854;2014-04-15 00:19:38
-117,2580081;34,06528062;2014-04-15 00:19:39
-87,14935;14,10124;2014-04-15 00:19:41
-77,6855465;37,40829484;2014-04-15 00:19:42
-58,59417779;-34,72134762;2014-04-15 00:19:42
-60,0286322;-34,8885555;2014-04-15 00:19:44
-99,47461211;19,33643592;2014-04-15 00:19:44
-91,52913226;14,84283226;2014-04-15 00:19:44
-44,99262605;-21,24503154;2014-04-15 00:19:44
-51,9531628;-29,4923125;2014-04-15 00:19:45
-54,62606901;-20,49410814;2014-04-15 00:19:46
-75,6799475;4,8377404;2014-04-15 00:19:47
-45,6166083;-23,0377886;2014-04-15 00:19:47
-76,56838062;39,11150712;2014-04-15 00:19:47
-97,0445348;37,0615258;2014-04-15 00:19:48
-97,88863094;22,30318876;2014-04-15 00:19:49
-118,6792946;34,28275121;2014-04-15 00:19:49
-48,516416;-25,5176777;2014-04-15 00:19:50
-120,5259859;46,6118348;2014-04-15 00:19:50
-73,88663563;41,32106233;2014-04-15 00:19:52
-75,92935085;39,80830227;2014-04-15 00:19:52
-15,4380703;28,1365906;2014-04-15 00:19:54
-89,67872621;21,28121911;2014-04-15 00:19:54
-79,9103453;-2,2041841;2014-04-15 00:19:54
-94,93351713;38,79543234;2014-04-15 00:19:55
-61,2875118;-27,3249116;2014-04-15 00:19:56
-75,2398083;4,4302017;2014-04-15 00:19:57
-100,4267012;25,7760416;2014-04-15 00:19:57
-68,6029524;-31,5324147;2014-04-15 00:19:58
-122,4843952;37,75354505;2014-04-15 00:19:58
-101,8706091;21,0264979;2014-04-15 00:19:59
-75,73619367;4,8156692;2014-04-15 00:19:59
-58,9739352;-34,1791397;2014-04-15 00:20:02
-90,463931;16,4763745;2014-04-15 00:20:03
-61,09734736;14,61649571;2014-04-15 00:20:03
-123,1158234;49,2718019;2014-04-15 00:20:03
-118,1632224;34,03861017;2014-04-15 00:20:04
-117,7920578;33,84004976;2014-04-15 00:20:05
-43,8165767;-20,2572625;2014-04-15 00:20:05
-119,2206736;34,28348563;2014-04-15 00:20:08
-75,3889949;9,2913357;2014-04-15 00:20:09
-87,73866311;41,702054;2014-04-15 00:20:09
-48,60897334;-27,5933091;2014-04-15 00:20:10
-92,47281943;16,5428685;2014-04-15 00:20:12
-73,0775481;7,065392;2014-04-15 00:20:13
-121,4483222;38,5395931;2014-04-15 00:20:14
-81,12816174;33,85234186;2014-04-15 00:20:14
-74,6635048;5,4551123;2014-04-15 00:20:14
-80,14577547;41,64973352;2014-04-15 00:20:15
-46,61512408;-20,73243198;2014-04-15 00:20:15
-100,2644994;25,81356741;2014-04-15 00:20:17
-104,7432653;38,90035554;2014-04-15 00:20:18
-76,99452412;-12,10748207;2014-04-15 00:20:18
-75,2240242;4,4411394;2014-04-15 00:20:20
-65,2007465;-26,8221099;2014-04-15 00:20:20
-48,5292462;-25,5353868;2014-04-15 00:20:20
-78,38776061;35,90888918;2014-04-15 00:20:21
-122,32247;47,14352;2014-04-15 00:20:22
-147,625509;64,82609907;2014-04-15 00:20:23
-92,95207977;17,98032761;2014-04-15 00:20:24
-67,859517;-9,9539744;2014-04-15 00:20:25
-117,9004632;34,09615694;2014-04-15 00:20:25
-66,9126948;10,5091807;2014-04-15 00:20:25
-73,6108847;4,7624757;2014-04-15 00:20:26
-89,3744597;14,8197787;2014-04-15 00:20:26
-52,792322;-28,2749653;2014-04-15 00:20:27
-58,6239208;-34,6253556;2014-04-15 00:20:27
-93,1189606;18,1895868;2014-04-15 00:20:28
-75,1885986;4,4285605;2014-04-15 00:20:28
-51,1959033;-29,9317444;2014-04-15 00:20:28
-74,7925501;10,9503012;2014-04-15 00:20:29
-121,3519479;37,98984069;2014-04-15 00:20:29
-82,42421162;38,42190213;2014-04-15 00:20:29
-87,1352672;12,6230231;2014-04-15 00:20:30
-96,13120866;19,13623073;2014-04-15 00:20:30
-51,19621526;-29,91464218;2014-04-15 00:20:32
-75,4950737;10,3875679;2014-04-15 00:20:32
-96,72529788;33,11876164;2014-04-15 00:20:32
-98,48898812;29,42400671;2014-04-15 00:20:32
-75,60107856;6,19100165;2014-04-15 00:20:33
-117,3257358;34,0779005;2014-04-15 00:20:33
-94,4945304;18,1403902;2014-04-15 00:20:33
-43,3017613;-22,7756626;2014-04-15 00:20:34
-121,8629296;37,38193493;2014-04-15 00:20:34
-100,2250003;25,7343342;2014-04-15 00:20:34
-74,08886522;4,65022007;2014-04-15 00:20:34
-118,1810885;33,90885676;2014-04-15 00:20:35
-97,3613683;19,8232128;2014-04-15 00:20:36
-96,36991734;34,01754176;2014-04-15 00:20:36
-101,604868;19,52107513;2014-04-15 00:20:37
-117,9705644;33,7569726;2014-04-15 00:20:37
-46,81398634;-23,57925819;2014-04-15 00:20:37
-71,09141358;42,33828139;2014-04-15 00:20:37
-75,08460945;40,08366586;2014-04-15 00:20:42
-66,00471924;18,42880606;2014-04-15 00:20:43
-76,49532521;3,42063094;2014-04-15 00:20:44
-105,5998843;33,3946682;2014-04-15 00:20:45
-66,61252;10,46927;2014-04-15 00:20:45
-47,96984212;-15,83927821;2014-04-15 00:20:46
-118,3365294;34,09406019;2014-04-15 00:20:46
-97,12824924;33,23024671;2014-04-15 00:20:46
-59,83760852;-31,50973878;2014-04-15 00:20:46
-118,2641261;34,0494489;2014-04-15 00:20:47
-85,90001;14,84105;2014-04-15 00:20:48
-96,14345049;19,18569757;2014-04-15 00:20:49
-96,91878288;19,55657928;2014-04-15 00:20:49
-57,4508009;-25,3904146;2014-04-15 00:20:49
-95,2144661;29,7625516;2014-04-15 00:20:51
-65,277871;-26,8108527;2014-04-15 00:20:51
-83,9030827;9,8547363;2014-04-15 00:20:51
-47,91100865;-15,81503177;2014-04-15 00:20:51
-75,6438488;6,1728801;2014-04-15 00:20:52
37,5828299;55,81279062;2014-04-15 00:20:52
-56,1868752;-34,878084;2014-04-15 00:20:54
-99,38188989;40,43722711;2014-04-15 00:20:54
-74,35440836;40,30959184;2014-04-15 00:20:54
-86,67189108;34,65544356;2014-04-15 00:20:54
-43,196567;-22,9204306;2014-04-15 00:20:56
-96,785857;32,84176625;2014-04-15 00:20:56
-46,3486341;-23,93272;2014-04-15 00:20:56
-97,74228683;30,28962083;2014-04-15 00:20:57
-116,6650079;31,71692824;2014-04-15 00:20:57
-64,2673559;-31,3955854;2014-04-15 00:20:58
-65,315765;-43,2457977;2014-04-15 00:20:59
-74,24604108;40,74196432;2014-04-15 00:20:59
29,03252412;41,0900713;2014-04-15 00:21:00
-71,6612741;10,6673177;2014-04-15 00:21:01
-121,8417108;37,3631386;2014-04-15 00:21:02
-82,40581216;42,97745041;2014-04-15 00:21:02
-100,2302109;25,7055531;2014-04-15 00:21:03
-118,1540263;33,91577498;2014-04-15 00:21:03
-65,9929819;18,3972555;2014-04-15 00:21:03
-43,386511;-22,8546653;2014-04-15 00:21:04
-96,31632502;30,60919314;2014-04-15 00:21:04
-103,3330482;48,92367006;2014-04-15 00:21:07
-117,7720314;40,9005776;2014-04-15 00:21:07
-72,25722701;41,81140036;2014-04-15 00:21:08
-47,8641724;-23,3434461;2014-04-15 00:21:08
-72,44423658;11,77741441;2014-04-15 00:21:08
-119,0111888;34,23132027;2014-04-15 00:21:08
-91,49283317;44,80005833;2014-04-15 00:21:10
-95,1833402;30,0507372;2014-04-15 00:21:10
-92,94825805;17,9563056;2014-04-15 00:21:12
-76,55534437;3,44945232;2014-04-15 00:21:12
-122,6083205;45,73327609;2014-04-15 00:21:13
-98,26435938;29,58245123;2014-04-15 00:21:16
-117,0829632;32,72704061;2014-04-15 00:21:16
-58,1746448;-34,8027468;2014-04-15 00:21:18
-122,9309282;49,22631784;2014-04-15 00:21:18
-122,3975789;38,33976743;2014-04-15 00:21:18
-106,1214859;28,721526;2014-04-15 00:21:19
-74,1443473;40,75867083;2014-04-15 00:21:19
-53,05587885;-26,07922756;2014-04-15 00:21:20
-60,8135694;-34,6536969;2014-04-15 00:21:20
-46,53781472;-23,50674164;2014-04-15 00:21:20
-46,773435;-23,6318371;2014-04-15 00:21:20
-42,9855133;-22,8286458;2014-04-15 00:21:21
-46,7379938;-23,5860572;2014-04-15 00:21:21
-59,9950393;-3,1383818;2014-04-15 00:21:22
-98,1777227;26,3087796;2014-04-15 00:21:22
-116,2955861;33,74284772;2014-04-15 00:21:22
-43,43513439;-22,73815951;2014-04-15 00:21:22
